CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment
12378.0,4.867534450455582,0.6931471805599453,8.29645175271804,2,1,5,215,2,Occasional
12379.0,4.406719247264253,1.0986122886681098,6.749040867823617,2,2,3,223,2,Occasional
12380.0,3.091042453358316,1.6094379124341003,7.910520910634419,4,4,5,445,2,Occasional
12381.0,1.6094379124341003,1.791759469228055,7.520944331624911,5,4,4,544,1,Regular
12383.0,5.220355825078324,1.791759469228055,7.523783805985769,1,4,4,144,2,Occasional
12384.0,3.367295829986474,1.0986122886681098,6.373780434317173,4,2,3,423,0,High-Value
12386.0,5.823045895483019,1.0986122886681098,5.998688392197302,1,2,2,122,3,At-Risk
12388.0,2.772588722239781,1.9459101490553132,7.930803150780257,4,4,5,445,1,Regular
12390.0,4.382026634673881,0.6931471805599453,6.311444385858925,2,1,3,213,3,At-Risk
12391.0,3.091042453358316,0.6931471805599453,6.0882736030360425,4,1,2,412,0,High-Value
12393.0,4.276666119016055,1.6094379124341003,7.3674560152319755,3,4,4,344,2,Occasional
12394.0,4.1588830833596715,1.0986122886681098,7.149508589545504,3,2,4,324,2,Occasional
12395.0,2.9444389791664403,2.5649493574615367,8.012889586306857,4,5,5,455,1,Regular
12397.0,3.58351893845611,1.0986122886681098,7.7877554007552545,3,2,5,325,2,Occasional
12398.0,3.828641396489095,0.6931471805599453,7.400412858792405,3,1,4,314,2,Occasional
12399.0,4.77912349311153,1.6094379124341003,7.011799929268738,2,4,4,244,2,Occasional
12401.0,5.713732805509369,0.6931471805599453,4.446174454497633,1,1,1,111,3,At-Risk
12402.0,5.777652323222656,0.6931471805599453,5.423186348593906,1,1,1,111,3,At-Risk
12403.0,3.912023005428146,0.6931471805599453,6.0607573736039315,3,1,2,312,3,At-Risk
12405.0,5.003946305945459,0.6931471805599453,7.445061184797548,2,1,4,214,2,Occasional
12406.0,3.091042453358316,1.0986122886681098,8.136313373066384,4,2,5,425,2,Occasional
12407.0,3.912023005428146,1.791759469228055,7.4437338971514055,3,4,4,344,2,Occasional
12408.0,3.4965075614664802,1.791759469228055,7.968856059639959,4,4,5,445,2,Occasional
12409.0,4.3694478524670215,1.3862943611198906,9.312325497408466,2,3,5,235,2,Occasional
12410.0,5.733341276897746,1.0986122886681098,6.542947351813216,1,2,3,123,3,At-Risk
12412.0,4.31748811353631,1.3862943611198906,7.1130443840624835,2,3,4,234,2,Occasional
12413.0,4.204692619390966,1.3862943611198906,6.632133521022722,3,3,3,333,2,Occasional
12414.0,5.37989735354046,1.3862943611198906,6.334007604663526,1,3,3,133,3,At-Risk
12415.0,3.1780538303479458,3.091042453358316,11.735393027855736,4,5,5,455,1,Regular
12417.0,1.0986122886681098,2.302585092994046,8.202509843461513,5,5,5,555,1,Regular
12418.0,4.727387818712341,0.6931471805599453,6.506650650150935,2,1,3,213,3,At-Risk
12420.0,4.1588830833596715,0.6931471805599453,6.3992436425478765,3,1,3,313,3,At-Risk
12421.0,2.772588722239781,1.6094379124341003,6.694611562246261,4,4,3,443,0,High-Value
12422.0,4.564348191467836,1.3862943611198906,6.690295544136225,2,3,3,233,2,Occasional
12423.0,0.0,2.1972245773362196,7.528498419486568,5,5,4,554,1,Regular
12424.0,5.093750200806762,1.0986122886681098,7.474182104762846,2,2,4,224,2,Occasional
12425.0,4.356708826689592,0.6931471805599453,6.6569835605504535,2,1,3,213,3,At-Risk
12426.0,5.272999558563747,0.6931471805599453,6.369438547154207,1,1,3,113,3,At-Risk
12427.0,3.091042453358316,1.3862943611198906,6.717562827807614,4,3,3,433,0,High-Value
12428.0,3.258096538021482,2.302585092994046,8.981865132439246,4,5,5,455,1,Regular
12429.0,2.1972245773362196,1.6094379124341003,8.22988438262624,5,4,5,545,1,Regular
12430.0,3.7612001156935624,0.6931471805599453,5.5506312951620265,3,1,2,312,3,At-Risk
12431.0,3.58351893845611,2.772588722239781,8.767321360814657,3,5,5,355,1,Regular
12432.0,3.7612001156935624,1.791759469228055,8.529185001388596,3,4,5,345,2,Occasional
12433.0,0.0,2.0794415416798357,9.50128237507538,5,5,5,555,1,Regular
12434.0,4.442651256490317,1.0986122886681098,6.6934971352559,2,2,3,223,2,Occasional
12435.0,4.382026634673881,1.0986122886681098,8.965831447914955,2,2,5,225,2,Occasional
12436.0,4.605170185988092,0.6931471805599453,6.234430333369278,2,1,3,213,3,At-Risk
12437.0,0.6931471805599453,2.9444389791664403,8.507629605767502,5,5,5,555,1,Regular
12438.0,2.6390573296152584,1.0986122886681098,7.9751692554798295,4,2,5,425,2,Occasional
12441.0,5.905361848054571,0.6931471805599453,5.162211233551045,1,1,1,111,3,At-Risk
12442.0,1.0986122886681098,0.6931471805599453,5.153638355178593,5,1,1,511,0,High-Value
12444.0,3.044522437723423,1.791759469228055,8.518484357502437,4,4,5,445,2,Occasional
12445.0,3.091042453358316,0.6931471805599453,4.900820428089049,4,1,1,411,0,High-Value
12446.0,4.060443010546419,0.6931471805599453,6.9110598129904375,3,1,4,314,3,At-Risk
12447.0,5.493061443340548,0.6931471805599453,6.168543217293113,1,1,2,112,3,At-Risk
12448.0,3.784189633918261,0.6931471805599453,6.110247083097449,3,1,2,312,3,At-Risk
12449.0,3.091042453358316,1.6094379124341003,8.310978042729836,4,4,5,445,2,Occasional
12450.0,5.049856007249537,1.0986122886681098,5.292701627762401,2,2,1,221,3,At-Risk
12451.0,2.3978952727983707,1.791759469228055,9.109029423519523,5,4,5,545,1,Regular
12452.0,2.833213344056216,1.0986122886681098,6.067429722163682,4,2,2,422,0,High-Value
12453.0,4.897839799950911,0.6931471805599453,6.562571204258897,2,1,3,213,3,At-Risk
12454.0,4.02535169073515,0.6931471805599453,8.168866163607964,3,1,5,315,2,Occasional
12455.0,4.290459441148391,1.9459101490553132,7.81110665732229,2,4,5,245,2,Occasional
12456.0,3.784189633918261,1.3862943611198906,8.065277779528966,3,3,5,335,2,Occasional
12457.0,4.189654742026425,2.0794415416798357,7.768207666517555,3,5,5,355,2,Occasional
12458.0,4.2626798770413155,1.0986122886681098,6.854776354191251,3,2,4,324,2,Occasional
12461.0,4.543294782270004,1.0986122886681098,6.718868216346018,2,2,3,223,2,Occasional
12462.0,2.9444389791664403,1.0986122886681098,7.082204261557526,4,2,4,424,0,High-Value
12463.0,3.970291913552122,1.6094379124341003,7.204729049594601,3,4,4,344,2,Occasional
12464.0,2.302585092994046,2.1972245773362196,7.100893128209941,5,5,4,554,1,Regular
12465.0,2.833213344056216,1.0986122886681098,6.610951732080795,4,2,3,423,0,High-Value
12468.0,5.236441962829949,1.0986122886681098,6.593783986707386,1,2,3,123,3,At-Risk
12471.0,0.6931471805599453,3.4339872044851463,9.89291435274037,5,5,5,555,1,Regular
12472.0,3.4657359027997265,2.0794415416798357,8.790742363252102,4,5,5,455,1,Regular
12473.0,3.367295829986474,1.791759469228055,8.276152945361936,4,4,5,445,2,Occasional
12474.0,2.833213344056216,2.9444389791664403,8.899060720499207,4,5,5,455,1,Regular
12475.0,3.9889840465642745,0.6931471805599453,6.585316116572351,3,1,3,313,3,At-Risk
12476.0,2.772588722239781,2.4849066497880004,8.82723638014411,4,5,5,455,1,Regular
12477.0,3.1354942159291497,1.9459101490553132,9.489542087633343,4,4,5,445,1,Regular
12478.0,1.3862943611198906,0.6931471805599453,6.525014994979364,5,1,3,513,0,High-Value
12479.0,2.3978952727983707,0.6931471805599453,6.269474999863032,5,1,3,513,0,High-Value
12480.0,3.332204510175204,1.6094379124341003,8.096400209353131,4,4,5,445,2,Occasional
12481.0,3.1354942159291497,2.3978952727983707,8.62709099798378,4,5,5,455,1,Regular
12483.0,2.833213344056216,2.1972245773362196,7.818422226986002,4,5,5,455,1,Regular
12484.0,3.4965075614664802,1.9459101490553132,8.418106288764006,4,4,5,445,2,Occasional
12488.0,2.302585092994046,1.3862943611198906,7.169857970780942,5,3,4,534,0,High-Value
12489.0,5.817111159963204,0.6931471805599453,5.816902804925467,1,1,2,112,3,At-Risk
12490.0,1.6094379124341003,2.3978952727983707,8.597653657970227,5,5,5,555,1,Regular
12491.0,3.6635616461296463,0.6931471805599453,6.134265345739653,3,1,2,312,0,High-Value
12492.0,4.143134726391533,1.0986122886681098,5.5767442414854775,3,2,2,322,3,At-Risk
12493.0,5.111987788356544,1.0986122886681098,6.0747481512447195,2,2,2,222,3,At-Risk
12494.0,2.772588722239781,2.0794415416798357,7.128576134926702,4,5,4,454,2,Occasional
12497.0,4.406719247264253,0.6931471805599453,6.950910549296065,2,1,4,214,3,At-Risk
12498.0,3.044522437723423,1.3862943611198906,6.00314605188182,4,3,2,432,0,High-Value
12500.0,3.1354942159291497,2.4849066497880004,8.356747405587967,4,5,5,455,1,Regular
12501.0,5.820082930352362,0.6931471805599453,7.682662153888476,1,1,5,115,3,At-Risk
12502.0,4.564348191467836,1.791759469228055,8.222787230875806,2,4,5,245,2,Occasional
12504.0,2.8903717578961645,1.0986122886681098,6.180120167963518,4,2,2,422,0,High-Value
12506.0,5.4510384535657,0.6931471805599453,4.310799125385514,1,1,1,111,3,At-Risk
12507.0,4.897839799950911,1.3862943611198906,7.174578816863813,2,3,4,234,2,Occasional
12508.0,3.258096538021482,1.0986122886681098,5.988660619775247,4,2,2,422,0,High-Value
12509.0,5.648974238161206,0.6931471805599453,5.178970608915471,1,1,1,111,3,At-Risk
12510.0,4.962844630259907,1.0986122886681098,6.8911888096735625,2,2,4,224,2,Occasional
12512.0,4.189654742026425,1.0986122886681098,4.891701596682476,3,2,1,321,3,At-Risk
12513.0,4.727387818712341,0.6931471805599453,6.418837907265026,2,1,3,213,3,At-Risk
12514.0,5.58724865840025,0.6931471805599453,6.926262950537876,1,1,4,114,3,At-Risk
12515.0,5.8664680569332965,0.6931471805599453,5.95246380975825,1,1,2,112,3,At-Risk
12516.0,4.356708826689592,1.0986122886681098,7.180115570136106,2,2,4,224,2,Occasional
12517.0,3.332204510175204,1.791759469228055,7.817061677081847,4,4,5,445,2,Occasional
12518.0,0.0,1.791759469228055,7.629436465014086,5,4,5,545,1,Regular
12519.0,4.1588830833596715,0.6931471805599453,5.804652925041163,3,1,2,312,3,At-Risk
12520.0,4.3694478524670215,1.791759469228055,7.876737127834484,2,4,5,245,2,Occasional
12521.0,4.962844630259907,0.6931471805599453,6.39806234681208,2,1,3,213,3,At-Risk
12522.0,3.6635616461296463,1.0986122886681098,5.266413817535028,3,2,1,321,0,High-Value
12523.0,2.9444389791664403,2.4849066497880004,7.490400973937009,4,5,4,454,1,Regular
12524.0,2.1972245773362196,2.1972245773362196,8.408877201532766,5,5,5,555,1,Regular
12526.0,0.0,1.3862943611198906,7.183612715167257,5,3,4,534,0,High-Value
12527.0,4.406719247264253,1.3862943611198906,5.857104239599851,2,3,2,232,3,At-Risk
12528.0,2.1972245773362196,1.9459101490553132,7.567593835498341,5,5,4,554,1,Regular
12530.0,4.0943445622221,1.6094379124341003,7.416546835435133,3,4,4,344,2,Occasional
12531.0,2.70805020110221,0.6931471805599453,4.838026416156094,4,1,1,411,0,High-Value
12532.0,3.4011973816621555,0.6931471805599453,5.860301775655642,4,1,2,412,0,High-Value
12534.0,4.875197323201151,0.6931471805599453,6.9940980992041535,2,1,4,214,3,At-Risk
12535.0,4.5217885770490405,1.0986122886681098,6.575563866544399,2,2,3,223,3,At-Risk
12536.0,3.7612001156935624,1.3862943611198906,9.441676670894656,3,3,5,335,2,Occasional
12538.0,3.367295829986474,0.6931471805599453,5.899760357897641,4,1,2,412,0,High-Value
12539.0,3.091042453358316,1.6094379124341003,8.625033629522884,4,4,5,445,2,Occasional
12540.0,2.995732273553991,2.8903717578961645,9.503102518971122,4,5,5,455,1,Regular
12541.0,3.4011973816621555,1.3862943611198906,6.889774590946187,4,3,4,434,2,Occasional
12544.0,3.58351893845611,0.6931471805599453,5.923453336491439,3,1,2,312,0,High-Value
12545.0,4.31748811353631,1.0986122886681098,6.9091443138264115,2,2,4,224,2,Occasional
12546.0,3.8501476017100584,1.0986122886681098,7.058328137461511,3,2,4,324,2,Occasional
12547.0,5.288267030694535,1.0986122886681098,5.341376856008484,1,2,1,121,3,At-Risk
12548.0,5.111987788356544,0.6931471805599453,4.566429357671661,2,1,1,211,3,At-Risk
12550.0,4.3694478524670215,0.6931471805599453,6.872987835288763,2,1,4,214,3,At-Risk
12551.0,5.8805329864007,0.6931471805599453,5.1298987149230735,1,1,1,111,3,At-Risk
12552.0,3.6635616461296463,1.0986122886681098,6.084089306213804,3,2,2,322,0,High-Value
12553.0,2.0794415416798357,2.3978952727983707,8.214270231095687,5,5,5,555,1,Regular
12556.0,3.912023005428146,1.0986122886681098,6.397862553264747,3,2,3,323,0,High-Value
12557.0,2.772588722239781,1.791759469228055,9.391991704219832,4,4,5,445,1,Regular
12558.0,2.0794415416798357,0.6931471805599453,5.601971208509516,5,1,2,512,0,High-Value
12559.0,5.739792912179234,1.0986122886681098,6.33276439774036,1,2,3,123,3,At-Risk
12560.0,1.6094379124341003,1.3862943611198906,7.666226609492505,5,3,5,535,0,High-Value
12561.0,5.713732805509369,0.6931471805599453,5.480013727948073,1,1,1,111,3,At-Risk
12562.0,2.0794415416798357,2.0794415416798357,8.238203893748778,5,5,5,555,1,Regular
12564.0,5.564520407322694,0.6931471805599453,6.12665081966305,1,1,2,112,3,At-Risk
12565.0,5.666426688112432,0.6931471805599453,4.989888220951467,1,1,1,111,3,At-Risk
12566.0,4.454347296253507,0.6931471805599453,5.865476063654188,2,1,2,212,3,At-Risk
12567.0,3.1354942159291497,2.3978952727983707,9.148707492038316,4,5,5,455,1,Regular
12569.0,0.6931471805599453,3.4965075614664802,8.324988557507531,5,5,5,555,1,Regular
12571.0,3.6888794541139363,1.0986122886681098,6.255001200981438,3,2,3,323,0,High-Value
12572.0,2.1972245773362196,1.0986122886681098,6.928949094989139,5,2,4,524,0,High-Value
12573.0,5.424950017481403,0.6931471805599453,5.08475279001415,1,1,1,111,3,At-Risk
12574.0,5.755742213586912,0.6931471805599453,5.391124416134243,1,1,1,111,3,At-Risk
12576.0,3.58351893845611,1.791759469228055,7.182982612166326,3,4,4,344,2,Occasional
12577.0,3.5553480614894135,1.3862943611198906,6.441903020858877,3,3,3,333,2,Occasional
12578.0,3.044522437723423,1.0986122886681098,7.935769837637909,4,2,5,425,2,Occasional
12579.0,4.356708826689592,0.6931471805599453,6.0899968031722285,2,1,2,212,3,At-Risk
12580.0,5.5093883366279774,0.6931471805599453,6.032366538428407,1,1,2,112,3,At-Risk
12581.0,3.6888794541139363,0.6931471805599453,5.291846475417725,3,1,1,311,3,At-Risk
12582.0,5.476463551931511,1.0986122886681098,6.239027502962935,1,2,3,123,3,At-Risk
12583.0,1.0986122886681098,2.772588722239781,8.89321301083995,5,5,5,555,1,Regular
12584.0,1.3862943611198906,2.302585092994046,7.757542894498013,5,5,5,555,1,Regular
12585.0,5.455321115357702,1.0986122886681098,7.621244157199997,1,2,4,124,2,Occasional
12586.0,2.833213344056216,0.6931471805599453,5.2879639544685455,4,1,1,411,0,High-Value
12587.0,2.0794415416798357,0.6931471805599453,4.976733742420574,5,1,1,511,0,High-Value
12588.0,3.6635616461296463,0.6931471805599453,5.3748153375207615,3,1,1,311,3,At-Risk
12589.0,3.367295829986474,1.0986122886681098,6.473396747218991,4,2,3,423,0,High-Value
12590.0,5.351858133476067,1.0986122886681098,9.196774773912752,1,2,5,125,2,Occasional
12591.0,5.75890177387728,0.6931471805599453,6.117766746972636,1,1,2,112,3,At-Risk
12592.0,4.5217885770490405,1.0986122886681098,6.083587835983788,2,2,2,222,3,At-Risk
12593.0,4.6913478822291435,1.3862943611198906,6.038109554931026,2,3,2,232,3,At-Risk
12594.0,3.6375861597263857,2.3978952727983707,8.113492525763553,3,5,5,355,1,Regular
12596.0,3.9318256327243257,1.0986122886681098,6.428541364981557,3,2,3,323,2,Occasional
12597.0,2.9444389791664403,1.6094379124341003,8.245966975595675,4,4,5,445,2,Occasional
12598.0,2.302585092994046,2.1972245773362196,8.01436219197595,5,5,5,555,1,Regular
12599.0,3.367295829986474,2.0794415416798357,6.940783782995926,4,5,4,454,2,Occasional
12600.0,3.367295829986474,2.3978952727983707,7.863282108506616,4,5,5,455,1,Regular
12601.0,5.247024072160486,1.791759469228055,6.359677669513258,1,4,3,143,2,Occasional
12602.0,4.07753744390572,0.6931471805599453,5.037731519757957,3,1,1,311,3,At-Risk
12603.0,3.091042453358316,0.6931471805599453,6.606920419952056,4,1,3,413,0,High-Value
12604.0,4.3694478524670215,1.0986122886681098,5.541969178493598,2,2,2,222,3,At-Risk
12607.0,4.0943445622221,0.6931471805599453,7.3655028587473295,3,1,4,314,2,Occasional
12609.0,4.356708826689592,1.3862943611198906,7.0280684444921455,2,3,4,234,2,Occasional
12610.0,3.1354942159291497,1.791759469228055,7.6499497335130995,4,4,5,445,2,Occasional
12611.0,3.9512437185814275,0.6931471805599453,7.085332264745334,3,1,4,314,2,Occasional
12612.0,4.30406509320417,0.6931471805599453,6.558254538791405,2,1,3,213,3,At-Risk
12613.0,4.04305126783455,1.791759469228055,8.115335568501695,3,4,5,345,2,Occasional
12614.0,5.627621113690637,0.6931471805599453,5.757639147446912,1,1,2,112,3,At-Risk
12615.0,0.6931471805599453,1.6094379124341003,7.73726297143202,5,4,5,545,1,Regular
12616.0,4.553876891600541,1.0986122886681098,6.571303042160927,2,2,3,223,3,At-Risk
12617.0,3.367295829986474,0.6931471805599453,5.869240414362608,4,1,2,412,0,High-Value
12618.0,3.091042453358316,0.6931471805599453,5.183523608545955,4,1,1,411,0,High-Value
12619.0,2.772588722239781,2.302585092994046,8.200354155974704,4,5,5,455,1,Regular
12620.0,2.70805020110221,1.3862943611198906,7.20073081629489,4,3,4,434,2,Occasional
12621.0,0.6931471805599453,3.044522437723423,9.524469857917655,5,5,5,555,1,Regular
12622.0,5.44673737166631,0.6931471805599453,5.199049364889368,1,1,1,111,3,At-Risk
12623.0,5.62040086571715,0.6931471805599453,5.723911845951367,1,1,2,112,3,At-Risk
12624.0,4.663439094112067,1.0986122886681098,6.464790775403018,2,2,3,223,3,At-Risk
12625.0,5.356586274672012,1.0986122886681098,7.895368965589599,1,2,5,125,2,Occasional
12626.0,3.1354942159291497,2.302585092994046,8.798074188898816,4,5,5,455,1,Regular
12627.0,2.3978952727983707,2.0794415416798357,8.407273409191232,5,5,5,555,1,Regular
12628.0,1.3862943611198906,1.3862943611198906,6.668812575758953,5,3,3,533,0,High-Value
12630.0,2.302585092994046,1.0986122886681098,7.1482513998271635,5,2,4,524,0,High-Value
12631.0,4.04305126783455,0.6931471805599453,6.463809184055691,3,1,3,313,3,At-Risk
12633.0,4.07753744390572,1.6094379124341003,7.6801664025186325,3,4,5,345,2,Occasional
12635.0,4.499809670330265,1.0986122886681098,7.432590311121191,2,2,4,224,2,Occasional
12637.0,4.204692619390966,2.1972245773362196,8.70016453705169,3,5,5,355,2,Occasional
12638.0,3.4965075614664802,0.6931471805599453,6.511284599453549,4,1,3,413,0,High-Value
12639.0,5.476463551931511,0.6931471805599453,6.188469440812497,1,1,2,112,3,At-Risk
12640.0,3.1780538303479458,1.3862943611198906,7.06951692181073,4,3,4,434,2,Occasional
12641.0,4.74493212836325,0.6931471805599453,5.230573714461517,2,1,1,211,3,At-Risk
12642.0,3.2188758248682006,1.3862943611198906,6.9219145615400475,4,3,4,434,2,Occasional
12643.0,4.852030263919617,1.9459101490553132,8.11541328460481,2,5,5,255,2,Occasional
12644.0,4.867534450455582,0.6931471805599453,6.171512688316606,2,1,2,212,3,At-Risk
12645.0,3.5263605246161616,1.6094379124341003,7.482220269767765,3,4,4,344,2,Occasional
12646.0,1.6094379124341003,1.0986122886681098,7.206355036031724,5,2,4,524,0,High-Value
12647.0,3.091042453358316,2.5649493574615367,8.222505302105255,4,5,5,455,1,Regular
12648.0,5.043425116919247,0.6931471805599453,5.765347830314356,2,1,2,212,3,At-Risk
12649.0,4.672828834461906,1.3862943611198906,6.4369673422476765,2,3,3,233,2,Occasional
12650.0,1.0986122886681098,0.6931471805599453,5.753968489569372,5,1,2,512,0,High-Value
12651.0,5.814130531825066,0.6931471805599453,4.74493212836325,1,1,1,111,3,At-Risk
12652.0,5.802118375377063,0.6931471805599453,6.82543832049292,1,1,3,113,3,At-Risk
12653.0,5.003946305945459,1.0986122886681098,7.701132335950876,2,2,5,225,2,Occasional
12654.0,2.3978952727983707,1.791759469228055,6.401884028681278,5,4,3,543,0,High-Value
12656.0,2.833213344056216,1.791759469228055,8.30700781907883,4,4,5,445,2,Occasional
12657.0,2.3978952727983707,1.6094379124341003,7.4049970586737315,5,4,4,544,2,Occasional
12658.0,2.9444389791664403,0.6931471805599453,6.532407069777784,4,1,3,413,0,High-Value
12659.0,3.4011973816621555,0.6931471805599453,4.529152699564175,4,1,1,411,3,At-Risk
12660.0,2.3978952727983707,0.6931471805599453,5.50573795739701,5,1,1,511,0,High-Value
12662.0,0.0,2.4849066497880004,8.256031004164345,5,5,5,555,1,Regular
12664.0,2.0794415416798357,2.302585092994046,8.49349048870337,5,5,5,555,1,Regular
12665.0,5.783825182329737,0.6931471805599453,4.1588830833596715,1,1,1,111,3,At-Risk
12667.0,4.060443010546419,0.6931471805599453,6.431540399799522,3,1,3,313,3,At-Risk
12668.0,2.4849066497880004,1.6094379124341003,8.244898785891763,5,4,5,545,2,Occasional
12669.0,5.017279836814924,1.3862943611198906,7.917547282845659,2,3,5,235,2,Occasional
12670.0,2.302585092994046,1.791759469228055,8.005383750527514,5,4,5,545,1,Regular
12672.0,5.799092654460526,0.6931471805599453,5.424509391785796,1,1,1,111,3,At-Risk
12673.0,1.6094379124341003,1.0986122886681098,6.415947661051908,5,2,3,523,0,High-Value
12674.0,3.6635616461296463,1.6094379124341003,7.586600674831223,3,4,4,344,2,Occasional
12676.0,3.2188758248682006,1.9459101490553132,7.194729601037682,4,5,4,454,2,Occasional
12678.0,3.7376696182833684,2.5649493574615367,9.777326645314199,3,5,5,355,1,Regular
12679.0,4.07753744390572,1.6094379124341003,7.015730373647435,3,4,4,344,2,Occasional
12680.0,0.0,1.6094379124341003,6.761352837213469,5,4,3,543,0,High-Value
12681.0,2.70805020110221,3.1354942159291497,9.531593091360708,4,5,5,455,1,Regular
12682.0,1.3862943611198906,3.4657359027997265,9.415793974716065,5,5,5,555,1,Regular
12683.0,1.3862943611198906,2.772588722239781,9.045179131116987,5,5,5,555,1,Regular
12684.0,2.0794415416798357,2.0794415416798357,7.733959364615189,5,5,5,555,1,Regular
12685.0,3.332204510175204,1.9459101490553132,7.960002460651312,4,5,5,455,2,Occasional
12686.0,5.918893854273146,0.6931471805599453,4.501364017262502,1,1,1,111,3,At-Risk
12688.0,4.736198448394496,0.6931471805599453,8.491836408313453,2,1,5,215,2,Occasional
12689.0,3.258096538021482,1.0986122886681098,7.1297862115656185,4,2,4,424,2,Occasional
12690.0,5.327876168789581,0.6931471805599453,5.966172379820607,1,1,2,112,3,At-Risk
12691.0,3.332204510175204,1.9459101490553132,6.94389432559801,4,5,4,454,2,Occasional
12693.0,4.844187086458591,1.6094379124341003,6.753332895580138,2,4,3,243,2,Occasional
12694.0,4.248495242049359,1.0986122886681098,6.769263030204804,3,2,3,323,2,Occasional
12695.0,1.9459101490553132,1.6094379124341003,6.368358698228111,5,4,3,543,0,High-Value
12697.0,3.367295829986474,1.3862943611198906,6.865463454791294,4,3,4,434,2,Occasional
12700.0,2.0794415416798357,1.6094379124341003,8.505320994961897,5,4,5,545,1,Regular
12701.0,4.382026634673881,1.0986122886681098,6.682997926190526,2,2,3,223,2,Occasional
12702.0,2.995732273553991,0.6931471805599453,5.393627546352362,4,1,1,411,0,High-Value
12703.0,4.2626798770413155,0.6931471805599453,5.650908985049133,3,1,2,312,3,At-Risk
12704.0,1.9459101490553132,2.1972245773362196,7.758692224146705,5,5,5,555,1,Regular
12705.0,2.70805020110221,2.302585092994046,8.834816031986259,4,5,5,455,1,Regular
12707.0,5.676753802268282,0.6931471805599453,6.404269320519532,1,1,3,113,3,At-Risk
12708.0,3.4011973816621555,2.3978952727983707,7.906145678459555,4,5,5,455,1,Regular
12709.0,2.70805020110221,2.772588722239781,9.180656121866383,4,5,5,455,1,Regular
12710.0,4.574710978503383,1.3862943611198906,7.047534612510416,2,3,4,234,2,Occasional
12712.0,3.367295829986474,2.6390573296152584,8.388707334356674,4,5,5,455,1,Regular
12713.0,0.0,0.6931471805599453,6.744706797531768,5,1,3,513,0,High-Value
12714.0,2.1972245773362196,1.791759469228055,8.45741346257719,5,4,5,545,1,Regular
12715.0,4.663439094112067,0.6931471805599453,5.841687621789754,2,1,2,212,3,At-Risk
12716.0,1.3862943611198906,1.0986122886681098,6.960812516706486,5,2,4,524,0,High-Value
12717.0,5.017279836814924,1.0986122886681098,6.939234566008755,2,2,4,224,2,Occasional
12718.0,4.2626798770413155,0.6931471805599453,5.477509030333064,3,1,1,311,3,At-Risk
12719.0,1.6094379124341003,1.0986122886681098,6.47072210140631,5,2,3,523,0,High-Value
12720.0,1.0986122886681098,3.258096538021482,8.662631168498327,5,5,5,555,1,Regular
12721.0,3.4657359027997265,1.9459101490553132,7.885001871924596,4,5,5,455,2,Occasional
